Date,Open,High,Low,Close
2021-04-01 07:05:00,58568.86,58692.18,58558.03,58690.28
2021-04-01 07:10:00,58690.28,58714.27,58600.0,58678.41
2021-04-01 07:15:00,58678.41,58774.99,58658.85,58753.0
2021-04-01 07:20:00,58753.0,58923.46,58753.0,58824.98
2021-04-01 07:25:00,58824.99,58900.0,58764.71,58871.13
2021-04-01 07:30:00,58870.39,58918.06,58792.11,58838.38
2021-04-01 07:35:00,58838.37,58886.13,58799.27,58799.28
2021-04-01 07:40:00,58799.28,58842.11,58750.0,58768.16
2021-04-01 07:45:00,58772.24,58772.24,58636.0,58707.2
2021-04-01 07:50:00,58707.2,58924.02,58688.65,58916.04
2021-04-01 07:55:00,58916.04,58937.37,58803.77,58817.77
2021-04-01 08:00:00,58817.78,59032.0,58807.05,58945.23
2021-04-01 08:05:00,58949.99,58988.98,58868.3,58898.31
2021-04-01 08:10:00,58898.31,59100.0,58898.31,59050.86
2021-04-01 08:15:00,59050.86,59199.47,58987.29,59192.14
2021-04-01 08:20:00,59192.15,59408.48,59180.0,59292.28
2021-04-01 08:25:00,59292.29,59490.0,59262.75,59332.85
2021-04-01 08:30:00,59332.84,59349.54,59193.19,59294.46
2021-04-01 08:35:00,59294.47,59312.0,59169.5,59234.14
2021-04-01 08:40:00,59234.14,59262.28,59130.42,59194.54
2021-04-01 08:45:00,59194.54,59245.84,59119.16,59189.99
2021-04-01 08:50:00,59189.99,59198.92,58564.0,58779.85
2021-04-01 08:55:00,58777.8,58883.16,58690.0,58839.7
2021-04-01 09:00:00,58839.7,58926.77,58811.27,58915.57
2021-04-01 09:05:00,58915.57,59024.73,58842.87,59023.03
2021-04-01 09:10:00,59023.03,59256.42,58950.53,59127.29
2021-04-01 09:15:00,59136.16,59168.32,58970.0,59059.57
2021-04-01 09:20:00,59059.57,59115.77,58971.81,58979.37
2021-04-01 09:25:00,58979.37,59058.36,58900.0,59001.01
2021-04-01 09:30:00,59001.01,59001.01,58850.05,58923.43
2021-04-01 09:35:00,58923.43,58923.43,58779.0,58903.37
2021-04-01 09:40:00,58903.37,58954.72,58859.03,58891.93
2021-04-01 09:45:00,58891.94,58961.01,58750.0,58814.22
2021-04-01 09:50:00,58814.21,58878.45,58727.43,58742.71
2021-04-01 09:55:00,58742.84,58882.77,58722.01,58820.19
2021-04-01 10:00:00,58820.19,58907.47,58715.03,58865.95
2021-04-01 10:05:00,58865.95,58974.34,58834.64,58886.18
2021-04-01 10:10:00,58883.24,58887.59,58749.38,58791.06
2021-04-01 10:15:00,58791.06,58798.61,58673.2,58712.22
2021-04-01 10:20:00,58712.21,58790.55,58667.0,58766.87
2021-04-01 10:25:00,58766.86,58783.62,58650.0,58708.73
2021-04-01 10:30:00,58708.74,58713.86,58600.0,58645.29
2021-04-01 10:35:00,58645.29,58700.0,58503.87,58528.05
2021-04-01 10:40:00,58528.06,58850.0,58500.0,58735.08
2021-04-01 10:45:00,58735.07,58830.0,58635.05,58665.84
2021-04-01 10:50:00,58665.85,58665.85,58520.0,58574.05
2021-04-01 10:55:00,58575.78,58714.18,58555.0,58630.99
2021-04-01 11:00:00,58628.86,58628.98,58458.84,58552.32
2021-04-01 11:05:00,58552.31,58552.31,58115.0,58320.17
2021-04-01 11:10:00,58324.3,58484.83,58316.76,58424.39
2021-04-01 11:15:00,58424.4,58424.4,58263.94,58334.41
2021-04-01 11:20:00,58334.42,58338.5,58143.0,58225.24
2021-04-01 11:25:00,58225.23,58391.11,58150.0,58386.46
2021-04-01 11:30:00,58386.45,58530.4,58300.0,58513.68
2021-04-01 11:35:00,58510.95,58538.0,58437.66,58454.92
2021-04-01 11:40:00,58454.93,58586.1,58427.82,58581.71
2021-04-01 11:45:00,58581.71,58695.99,58556.73,58660.69
2021-04-01 11:50:00,58655.81,58685.65,58485.84,58530.1
2021-04-01 11:55:00,58526.02,58640.58,58472.64,58584.32
2021-04-01 12:00:00,58584.32,58677.32,58375.0,58591.91
2021-04-01 12:05:00,58591.9,58728.0,58565.0,58636.31
2021-04-01 12:10:00,58636.31,58689.8,58590.0,58603.12
2021-04-01 12:15:00,58603.12,58687.5,58550.0,58645.56
2021-04-01 12:20:00,58646.59,58700.0,58590.04,58700.0
2021-04-01 12:25:00,58699.99,58700.02,58617.42,58691.22
2021-04-01 12:30:00,58691.22,58691.23,58570.01,58661.37
2021-04-01 12:35:00,58661.37,58661.38,58567.46,58582.78
2021-04-01 12:40:00,58582.78,58625.34,58454.54,58478.28
2021-04-01 12:45:00,58478.28,58632.15,58439.6,58597.59
2021-04-01 12:50:00,58597.6,58708.86,58588.15,58645.71
2021-04-01 12:55:00,58645.72,58740.86,58610.96,58730.06
2021-04-01 13:00:00,58730.07,58898.3,58712.0,58850.01
2021-04-01 13:05:00,58850.01,59100.99,58834.41,58977.29
2021-04-01 13:10:00,58977.28,59021.0,58885.53,58885.53
2021-04-01 13:15:00,58885.52,58900.0,58800.0,58811.0
2021-04-01 13:20:00,58811.01,58963.86,58805.21,58879.32
2021-04-01 13:25:00,58879.32,58962.0,58879.31,58928.94
2021-04-01 13:30:00,58928.93,59111.74,58834.99,59008.79
2021-04-01 13:35:00,59008.79,59102.21,58971.85,58986.61
2021-04-01 13:40:00,58991.94,59035.97,58971.85,58976.12
2021-04-01 13:45:00,58976.13,59035.99,58975.31,58983.42
2021-04-01 13:50:00,58983.41,59077.93,58980.0,58989.11
2021-04-01 13:55:00,58989.1,58989.1,58884.49,58930.34
2021-04-01 14:00:00,58930.34,58930.35,58830.76,58893.48
2021-04-01 14:05:00,58893.48,58980.0,58771.17,58771.18
2021-04-01 14:10:00,58771.18,58902.65,58771.17,58873.86
2021-04-01 14:15:00,58873.87,58976.88,58873.56,58934.9
2021-04-01 14:20:00,58934.89,59065.0,58925.37,59018.85
2021-04-01 14:25:00,59018.84,59088.0,58979.99,58990.1
2021-04-01 14:30:00,58990.11,59033.27,58895.65,58944.08
2021-04-01 14:35:00,58944.08,58990.94,58880.0,58900.11
2021-04-01 14:40:00,58900.12,58990.94,58892.81,58972.71
2021-04-01 14:45:00,58972.7,59029.95,58844.61,58859.63
2021-04-01 14:50:00,58859.63,58958.62,58859.62,58941.76
2021-04-01 14:55:00,58941.76,59033.26,58915.58,58999.86
2021-04-01 15:00:00,58999.86,59100.0,58935.0,59045.64
2021-04-01 15:05:00,59045.64,59087.88,58977.53,59047.14
2021-04-01 15:10:00,59047.14,59055.26,58935.71,58993.11
2021-04-01 15:15:00,58993.1,59263.3,58967.34,59194.69
2021-04-01 15:20:00,59194.69,59250.0,59099.97,59149.68
2021-04-01 15:25:00,59149.69,59157.0,59032.82,59066.32
2021-04-01 15:30:00,59066.31,59150.0,59021.43,59133.55
2021-04-01 15:35:00,59133.55,59172.14,59000.0,59000.0
2021-04-01 15:40:00,59000.0,59064.53,58947.36,59000.68
2021-04-01 15:45:00,59000.69,59029.38,58958.8,59016.44
2021-04-01 15:50:00,59016.44,59065.92,58951.48,59030.0
2021-04-01 15:55:00,59030.0,59066.25,58950.0,58974.65
2021-04-01 16:00:00,58974.66,59146.77,58871.42,58882.91
2021-04-01 16:05:00,58884.13,58948.0,58750.0,58938.35
